review_id,usado,usado_em
Ci9DQUlRQUNvZENodHljRjlvT21KcU4wMVdUbnB5TlZKcGRtSnNOMHczZG5CTGRVRRAB,True,2025-10-07 23:16:45
Ci9DQUlRQUNvZENodHljRjlvT25saVUySktSekJ2WjJ0bVFtNUdSbVJsTFc5WFJFRRAB,True,2025-10-07 23:17:54
Ci9DQUlRQUNvZENodHljRjlvT2s1V1RGUTNaMlZSZVc5MldtMWpkbU0wU1cwM2MwRRAB,True,2025-10-10 11:18:44
ChZDSUhNMG9nS0VQaWkxNFdFenFxdVVBEAE,True,2025-10-10 11:18:59
ChdDSUhNMG9nS0VJQ0FnSURQdmJPUXV3RRAB,True,2025-10-10 11:19:10
ChdDSUhNMG9nS0VJQ0FnTURRdlkzaXFnRRAB,True,2025-10-10 11:19:22
Ci9DQUlRQUNvZENodHljRjlvT2pkQk5ITklZV1Z6YlMxUVQwTkdUelF0TTBWak5uYxAB,True,2025-10-10 11:19:31
ChdDSUhNMG9nS0VJQ0FnTUNBaElMRm13RRAB,True,2025-10-10 11:19:46
Ci9DQUlRQUNvZENodHljRjlvT2s1dVJGWTFTbFpuY1ZsSlp6RndXWGRyTlRaRFJVRRAB,True,2025-10-10 11:19:57
Ci9DQUlRQUNvZENodHljRjlvT2xkRmVYZG1lbmRGU2taVlVpMDBNSE5VYm5sUk4wRRAB,True,2025-10-10 11:20:09
Ci9DQUlRQUNvZENodHljRjlvT201VFkzQkhjMHhZYmpORU9XUjZPVTlvYlZwNUxYYxAB,True,2025-10-10 11:20:21
ChZDSUhNMG9nS0VJQ0FnSURfaEwtT1VnEAE,True,2025-10-10 11:20:31
Ci9DQUlRQUNvZENodHljRjlvT2s1b1ZHczBjbTQ1T0VWSlkyaFpRWGQxZWtSaFYxRRAB,True,2025-10-10 11:20:46
ChdDSUhNMG9nS0VLRHo4WjJ0X2MyQTNnRRAB,True,2025-10-10 11:21:22
Ci9DQUlRQUNvZENodHljRjlvT2t0aUxTMUZlbXhxUVdZNE5tVTRaMlIxT0MxaFYyYxAB,True,2025-10-10 11:21:35
Ci9DQUlRQUNvZENodHljRjlvT21KSmFYZG1NeTF6UzFNdFZWWTFiVFJWYWtKWVpsRRAB,True,2025-10-10 11:21:55
ChZDSUhNMG9nS0VMQzFpTUhaOU9qWkR3EAE,True,2025-10-10 11:22:08
Ci9DQUlRQUNvZENodHljRjlvT21VeU1HaFdkV3RYUVZGVWRUZzRkUzFJUlVsbmNWRRAB,True,2025-10-10 11:22:17
Ci9DQUlRQUNvZENodHljRjlvT2tVeldVZHFUMk5oY3psWVYwRnBiMGx0Tlhsa1ZIYxAB,True,2025-10-10 11:22:30
Ci9DQUlRQUNvZENodHljRjlvT2xCUE9GQm1UVkJyYW5KcFJreFJaM05wZFhwR1pXYxAB,True,2025-10-10 11:22:48
Ci9DQUlRQUNvZENodHljRjlvT20xd1NrTk1Tek40VGpONmFuVk9UbDlKYWprNGFWRRAB,True,2025-10-10 11:23:07
Ci9DQUlRQUNvZENodHljRjlvT2tOMVVUSmhjRFpOVUZkRmRVWlJabkpxZWsxR1RFRRAB,True,2025-10-10 11:23:20
ChdDSUhNMG9nS0VJQ0FnSUREcE55MXB3RRAB,True,2025-10-10 11:23:39
Ci9DQUlRQUNvZENodHljRjlvT2s5RFZtaDZRM0pxYWxGZlFYbEpRa3RrTlU4elVXYxAB,True,2025-10-10 11:23:58
ChdDSUhNMG9nS0VJQ0FnTUNJejVmSDB3RRAB,True,2025-10-10 11:24:07
Ci9DQUlRQUNvZENodHljRjlvT2pSVVYyVlBXbU5OZVdkTVlVeExUalJCU0dFMUxWRRAB,True,2025-10-10 11:24:27
ChZDSUhNMG9nS0VJQ0FnTURvNGRDWFZREAE,True,2025-10-10 11:24:38
ChdDSUhNMG9nS0VLYS1tcm5CcmRMNTJnRRAB,True,2025-10-10 11:24:50
Ci9DQUlRQUNvZENodHljRjlvT21GZlV6WldNalZqT1doUmJ6aDZZVU5XVUVKbE9XYxAB,True,2025-10-10 11:25:01
ChZDSUhNMG9nS0VJQ0FnTUNBMHIyOUdBEAE,True,2025-10-10 11:25:16
ChZDSUhNMG9nS0VJN0l2TlBjemJYc0lnEAE,True,2025-10-10 11:25:58
ChZDSUhNMG9nS0VJM0N3dlhBNmVMd0VREAE,True,2025-10-10 11:26:10
Ci9DQUlRQUNvZENodHljRjlvT2pGRVNETXRUVGRoYmxWNVppMDROMjFuZFd4SVdIYxAB,True,2025-10-10 11:26:27
Ci9DQUlRQUNvZENodHljRjlvT25aaFRtVnNhVTR3WVZoVFZWOXhWbmRyTkZwdWJrRRAB,True,2025-10-10 11:26:52
Ci9DQUlRQUNvZENodHljRjlvT25oM1lWWlNVV1ZhWTFJemRVaFBXV0ZuTFRoMU9GRRAB,True,2025-10-10 11:27:07
ChZDSUhNMG9nS0VKdWhfTmFhMnJpbEpBEAE,True,2025-10-10 11:27:17
Ci9DQUlRQUNvZENodHljRjlvT2tNelR6SjBNbVU1YW5SWFQxVm9VR3BTU0U1b1RFRRAB,True,2025-10-10 11:27:27
Ci9DQUlRQUNvZENodHljRjlvT205WVptUnNVazE2VFRSdmJrWlhjMWQ2UWpoMFZsRRAB,True,2025-10-10 11:27:42
ChdDSUhNMG9nS0VQcTB6NVRzXzVqcWlnRRAB,True,2025-10-10 11:27:52
Ci9DQUlRQUNvZENodHljRjlvT2s1RFVVdG9hRGg2YVZsWFNXWTJUR0Z2TFRVMk0xRRAB,True,2025-10-10 11:28:04
Ci9DQUlRQUNvZENodHljRjlvT21nd1RWWnJXQzFCV1VKNk4xWllaREZQVFdaQ2FGRRAB,True,2025-10-10 11:28:16
Ci9DQUlRQUNvZENodHljRjlvT2tsVVZsRTROVGxHUW5waWJTMXZOVFk0WTNacFNrRRAB,True,2025-10-10 11:28:27
ChZDSUhNMG9nS0VNeXNyN09zNU9US2ZREAE,True,2025-10-10 11:28:39
Ci9DQUlRQUNvZENodHljRjlvT2pOU2QySk1TVWg0YW5keFVqUnJNbGxWZUdaUVRXYxAB,True,2025-10-10 11:28:49
Ci9DQUlRQUNvZENodHljRjlvT2pOZldscE9kMDE1WDB0WGVuZGFla3hxYWt0RVJWRRAB,True,2025-10-10 11:28:57
ChdDSUhNMG9nS0VJQ0FnTURJd1lQYy13RRAB,True,2025-10-10 11:29:06
Ci9DQUlRQUNvZENodHljRjlvT21aTGRIUlVXVGxoTkRoTWJGQXpYek5CVmtOTlRtYxAB,True,2025-10-10 11:29:31
Ci9DQUlRQUNvZENodHljRjlvT20xbGN6TjFhRkZ5U25GMWJEaDRaVlF5WHpWSFpGRRAB,True,2025-10-10 11:29:46
Ci9DQUlRQUNvZENodHljRjlvT2toMlpFOVNPV0p2VEZkMU4wZFBkRmRqVDNoUFkxRRAB,True,2025-10-14 13:29:08
Ci9DQUlRQUNvZENodHljRjlvT2pObmVEZEJOSEp4V1VWUWIzYzBOMk5zVlZvNGVFRRAB,True,2025-10-14 14:21:22
Ci9DQUlRQUNvZENodHljRjlvT25CZlgzUm1ZUzFoTW1aV0xYQnZUVUZaVTJsUlZVRRAB,True,2025-10-14 14:27:31
Ci9DQUlRQUNvZENodHljRjlvT2poNk1YSmlRa2g0Y2xwV1dUVmtkRlpXTWtScFJFRRAB,True,2025-10-14 14:29:55
Ci9DQUlRQUNvZENodHljRjlvT25sdVZ6SkdaRVZtYlUxck1VbDRMVzlrVUVSc09VRRAB,True,2025-10-14 14:32:58
Ci9DQUlRQUNvZENodHljRjlvT2xwRlpFdFdNa2xMZUdGdGEzaENXR2c0TWpoZkxYYxAB,True,2025-10-20 23:35:41
Ci9DQUlRQUNvZENodHljRjlvT2xWRGEyTjNRVWN4ZUhObk9FMTROMVpSUmtad1ZHYxAB,True,2025-10-20 23:41:05
ChZDSUhNMG9nS0VJQ0FnSUR2eC1fNER3EAE,True,2025-10-20 23:46:31
Ci9DQUlRQUNvZENodHljRjlvT2tWUlYwcGhTa1JDUTBob1JtOU9SSGQ1TW10TVYyYxAB,True,2025-10-20 23:48:52
Ci9DQUlRQUNvZENodHljRjlvT25CVGJVc3pkbUV3WkhwV1IycHpUMHBDVDA1Q01GRRAB,True,2025-10-20 23:51:23
ChdDSUhNMG9nS0VPVHowYkR5bWFfYm9BRRAB,True,2025-10-20 23:57:42
Ci9DQUlRQUNvZENodHljRjlvT2xkcFZFeExNVmRzUVc1Q2JIWmxOMVpCZVRscVFWRRAB,True,2025-10-28 12:57:01
ChZDSUhNMG9nS0VJQ0FnTUNZdWNYVFdBEAE,True,2025-10-28 14:09:28
Ci9DQUlRQUNvZENodHljRjlvT2pkc1RtNWxlV0Z5ZDE5Vk5tVk9hemhNUTJWT1dsRRAB,True,2025-10-28 14:13:04
Ci9DQUlRQUNvZENodHljRjlvT2tocVUwVlFXWGRsY0ZOWlUyMUxiMGQyTmpWUmNYYxAB,True,2025-10-28 16:43:09
Ci9DQUlRQUNvZENodHljRjlvT2tGT1dURnRRalZhU0Y4eFprNVFlVTlCVTI1S01uYxAB,True,2025-10-28 16:43:10
Ci9DQUlRQUNvZENodHljRjlvT2tsU2JYQkdSRTlNYzNKYVpXaDVTVkZ1TUMxM1lsRRAB,True,2025-10-28 16:48:45
ChdDSUhNMG9nS0VJdnRoYkRJekllRXhRRRAB,True,2025-10-31 18:35:35
ChZDSUhNMG9nS0VKQ1ZocHZGbTdXREVBEAE,True,2025-10-31 18:37:59
Ci9DQUlRQUNvZENodHljRjlvT2xsc1F6UjNjemQwTTFsbmVHeHFjVWQwYkV4UWMyYxAB,True,2025-10-31 18:39:41
Ci9DQUlRQUNvZENodHljRjlvT2toUFRHVlRhSEJJVmpWblZqQndjRkY1TW01UFgxRRAB,True,2025-10-31 19:32:20
Ci9DQUlRQUNvZENodHljRjlvT25CdlJUZEpXRFk1ZGpGc1RuVnVPVlYwTlRab2IyYxAB,True,2025-10-31 19:36:20
Ci9DQUlRQUNvZENodHljRjlvT25oRFgxaE9aV2w0ZUcxalJWTXhjRkZ6Y21oWlIwRRAB,True,2025-11-07 19:15:01
Ci9DQUlRQUNvZENodHljRjlvT2s1RFZIQlVVMnR2U1hwRGJsWm5hVE5tYUVkWFpXYxAB,True,2025-11-07 19:21:13
Ci9DQUlRQUNvZENodHljRjlvT2xWdlVteG9XbUptYjA1SU5sSmxkazAwUWpaWGEwRRAB,True,2025-11-07 21:19:01
ChZDSUhNMG9nS0VJQ0FnTURvMC1Pa2FnEAE,True,2025-11-07 21:23:29
ChZDSUhNMG9nS0VJQ0FnTUNZbExydlpBEAE,True,2025-11-07 21:25:10
ChZDSUhNMG9nS0VPLUY1ZV8wX0pIWFdnEAE,True,2025-11-11 13:36:03
ChdDSUhNMG9nS0VQZlBfY0NDbmZpR21RRRAB,True,2025-11-11 13:39:08
ChZDSUhNMG9nS0VKejNqdENrNzZtclVBEAE,True,2025-11-11 13:41:32
ChdDSUhNMG9nS0VQM0hsci1VeWNqMDBRRRAB,True,2025-11-11 13:43:59
ChdDSUhNMG9nS0VJQ0FnSURIdThlNHBRRRAB,True,2025-11-11 14:35:25
ChZDSUhNMG9nS0VOLXUzLXFsbDlyZFd3EAE,True,2025-11-11 14:35:30
